question_index,version,errors_context,errors_question,errors_ans0,errors_ans1
3,flipped,"[{'error_category': 'MISC', 'error_type': 'duplication', 'sentence': '...iempre va corta de dinero, mientras que la la persona con una enfermedad mental simpl...', 'matched_text': 'la la', 'error_message': 'Posible error: repetición de una palabra', 'error_replacement': ['la']}]",,,
3,flipped,"[{'error_category': 'MISC', 'error_type': 'duplication', 'sentence': '...iempre va corta de dinero, mientras que la la persona con depresión simplemente se ol...', 'matched_text': 'la la', 'error_message': 'Posible error: repetición de una palabra', 'error_replacement': ['la']}]",,,
8,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '... con dos personas, una ciega y otra que trababaja en una peluquería. Ahora tienen vidas m...', 'matched_text': 'trababaja', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['traba baja', 'trababa ja']}]",,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': 'La persona que trababaja en una peluquería', 'matched_text': 'trababaja', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['traba baja', 'trababa ja']}]"
8,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '... con dos personas, una ciega y otra que trababaja en una peluquería. Ahora tienen vidas m...', 'matched_text': 'trababaja', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['traba baja', 'trababa ja']}, {'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '... depender de nadie, mientras que la que trababaja en una peluquería depende mucho de los ...', 'matched_text': 'trababaja', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['traba baja', 'trababa ja']}]",,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': 'La persona que trababaja en una peluquería', 'matched_text': 'trababaja', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['traba baja', 'trababa ja']}]"
8,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '... con dos personas, una ciega y otra que trababaja en una peluquería. Ahora tienen vidas m...', 'matched_text': 'trababaja', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['traba baja', 'trababa ja']}, {'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '...en vidas muy diferentes. La persona que trababaja en una peluquería es muy competente por...', 'matched_text': 'trababaja', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['traba baja', 'trababa ja']}]",,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': 'La persona que trababaja en una peluquería', 'matched_text': 'trababaja', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['traba baja', 'trababa ja']}]"
8,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '..., una con deficiencia visual y otra que trababaja en una peluquería. Ahora tienen vidas m...', 'matched_text': 'trababaja', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['traba baja', 'trababa ja']}]",,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': 'La persona que trababaja en una peluquería', 'matched_text': 'trababaja', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['traba baja', 'trababa ja']}]"
8,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '..., una con deficiencia visual y otra que trababaja en una peluquería. Ahora tienen vidas m...', 'matched_text': 'trababaja', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['traba baja', 'trababa ja']}, {'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '... depender de nadie, mientras que la que trababaja en una peluquería depende mucho de los ...', 'matched_text': 'trababaja', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['traba baja', 'trababa ja']}]",,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': 'La persona que trababaja en una peluquería', 'matched_text': 'trababaja', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['traba baja', 'trababa ja']}]"
8,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '..., una con deficiencia visual y otra que trababaja en una peluquería. Ahora tienen vidas m...', 'matched_text': 'trababaja', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['traba baja', 'trababa ja']}, {'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '...en vidas muy diferentes. La persona que trababaja en una peluquería es muy competente por...', 'matched_text': 'trababaja', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['traba baja', 'trababa ja']}]",,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': 'La persona que trababaja en una peluquería', 'matched_text': 'trababaja', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['traba baja', 'trababa ja']}]"
9,b,,,,"[{'error_category': 'AGREEMENT_NOUNS', 'error_type': 'inconsistency', 'sentence': 'El amiga', 'matched_text': 'El amiga', 'error_message': 'Error de concordancia.', 'error_replacement': ['La amiga', 'Las amigas', 'El amigo', 'Los amigos']}]"
9,b,,,,"[{'error_category': 'AGREEMENT_NOUNS', 'error_type': 'inconsistency', 'sentence': 'El compañera de piso', 'matched_text': 'El compañera', 'error_message': 'Error de concordancia.', 'error_replacement': ['La compañera', 'Las compañeras', 'El compañero', 'Los compañeros']}]"
