question_index,version,errors_context,errors_question,errors_ans0,errors_ans1
7,,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '¿Quién llamó a la polícia cuando estaban robando en la tienda?', 'matched_text': 'polícia', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['policía', 'policial', 'policías', 'puericia', 'Polinyà', 'policiva']}]",,
8,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '...tuajes por todo el cuerpo y el otro sin piercings.', 'matched_text': 'piercings', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['pressings', 'piernas', 'piscinas', 'porcinos', 'porcinas', 'percibes', 'piérides', 'percibís', 'Perkins', 'Piérnigas', 'parkings', 'pecinas', 'peelings', 'percanes', 'percibas', 'percibos', 'perinés', 'perlinas', 'perlinos', 'perrinas', 'perusinas', 'perusinos', 'piedrines', 'pierias', 'pierios', 'piperacinas', 'piperinas', 'pipermines', 'pircanos', 'pircunes', 'piérdanos', 'piérdenos', 'pressing', 'puentings', 'pírcanos', 'rieslings']}]",,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': 'El hombre sin piercings', 'matched_text': 'piercings', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['pressings', 'piernas', 'piscinas', 'porcinos', 'porcinas', 'percibes', 'piérides', 'percibís', 'Perkins', 'Piérnigas', 'parkings', 'pecinas', 'peelings', 'percanes', 'percibas', 'percibos', 'perinés', 'perlinas', 'perlinos', 'perrinas', 'perusinas', 'perusinos', 'piedrines', 'pierias', 'pierios', 'piperacinas', 'piperinas', 'pipermines', 'pircanos', 'pircunes', 'piérdanos', 'piérdenos', 'pressing', 'puentings', 'pírcanos', 'rieslings']}]"
8,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '...tuajes por todo el cuerpo y el otro sin piercings. Solo el hombre con tatuajes por todo e...', 'matched_text': 'piercings', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['pressings', 'piernas', 'piscinas', 'porcinos', 'porcinas', 'percibes', 'piérides', 'percibís', 'Perkins', 'Piérnigas', 'parkings', 'pecinas', 'peelings', 'percanes', 'percibas', 'percibos', 'perinés', 'perlinas', 'perlinos', 'perrinas', 'perusinas', 'perusinos', 'piedrines', 'pierias', 'pierios', 'piperacinas', 'piperinas', 'pipermines', 'pircanos', 'pircunes', 'piérdanos', 'piérdenos', 'pressing', 'puentings', 'pírcanos', 'rieslings']}, {'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '...s penales, lo que excluye al hombre sin piercings de todos los puestos a los que postula....', 'matched_text': 'piercings', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['pressings', 'piernas', 'piscinas', 'porcinos', 'porcinas', 'percibes', 'piérides', 'percibís', 'Perkins', 'Piérnigas', 'parkings', 'pecinas', 'peelings', 'percanes', 'percibas', 'percibos', 'perinés', 'perlinas', 'perlinos', 'perrinas', 'perusinas', 'perusinos', 'piedrines', 'pierias', 'pierios', 'piperacinas', 'piperinas', 'pipermines', 'pircanos', 'pircunes', 'piérdanos', 'piérdenos', 'pressing', 'puentings', 'pírcanos', 'rieslings']}]",,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': 'El hombre sin piercings', 'matched_text': 'piercings', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['pressings', 'piernas', 'piscinas', 'porcinos', 'porcinas', 'percibes', 'piérides', 'percibís', 'Perkins', 'Piérnigas', 'parkings', 'pecinas', 'peelings', 'percanes', 'percibas', 'percibos', 'perinés', 'perlinas', 'perlinos', 'perrinas', 'perusinas', 'perusinos', 'piedrines', 'pierias', 'pierios', 'piperacinas', 'piperinas', 'pipermines', 'pircanos', 'pircunes', 'piérdanos', 'piérdenos', 'pressing', 'puentings', 'pírcanos', 'rieslings']}]"
8,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '...tuajes por todo el cuerpo y el otro sin piercings. Solo el hombre sin piercings había ten...', 'matched_text': 'piercings', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['pressings', 'piernas', 'piscinas', 'porcinos', 'porcinas', 'percibes', 'piérides', 'percibís', 'Perkins', 'Piérnigas', 'parkings', 'pecinas', 'peelings', 'percanes', 'percibas', 'percibos', 'perinés', 'perlinas', 'perlinos', 'perrinas', 'perusinas', 'perusinos', 'piedrines', 'pierias', 'pierios', 'piperacinas', 'piperinas', 'pipermines', 'pircanos', 'pircunes', 'piérdanos', 'piérdenos', 'pressing', 'puentings', 'pírcanos', 'rieslings']}, {'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '... otro sin piercings. Solo el hombre sin piercings había tenido suerte y había encontrado ...', 'matched_text': 'piercings', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['pressings', 'piernas', 'piscinas', 'porcinos', 'porcinas', 'percibes', 'piérides', 'percibís', 'Perkins', 'Piérnigas', 'parkings', 'pecinas', 'peelings', 'percanes', 'percibas', 'percibos', 'perinés', 'perlinas', 'perlinos', 'perrinas', 'perusinas', 'perusinos', 'piedrines', 'pierias', 'pierios', 'piperacinas', 'piperinas', 'pipermines', 'pircanos', 'pircunes', 'piérdanos', 'piérdenos', 'pressing', 'puentings', 'pírcanos', 'rieslings']}]",,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': 'El hombre sin piercings', 'matched_text': 'piercings', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['pressings', 'piernas', 'piscinas', 'porcinos', 'porcinas', 'percibes', 'piérides', 'percibís', 'Perkins', 'Piérnigas', 'parkings', 'pecinas', 'peelings', 'percanes', 'percibas', 'percibos', 'perinés', 'perlinas', 'perlinos', 'perrinas', 'perusinas', 'perusinos', 'piedrines', 'pierias', 'pierios', 'piperacinas', 'piperinas', 'pipermines', 'pircanos', 'pircunes', 'piérdanos', 'piérdenos', 'pressing', 'puentings', 'pírcanos', 'rieslings']}]"
8,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '...brazos llenos de tatuajes y el otro sin piercings.', 'matched_text': 'piercings', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['pressings', 'piernas', 'piscinas', 'porcinos', 'porcinas', 'percibes', 'piérides', 'percibís', 'Perkins', 'Piérnigas', 'parkings', 'pecinas', 'peelings', 'percanes', 'percibas', 'percibos', 'perinés', 'perlinas', 'perlinos', 'perrinas', 'perusinas', 'perusinos', 'piedrines', 'pierias', 'pierios', 'piperacinas', 'piperinas', 'pipermines', 'pircanos', 'pircunes', 'piérdanos', 'piérdenos', 'pressing', 'puentings', 'pírcanos', 'rieslings']}]",,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': 'El hombre sin piercings', 'matched_text': 'piercings', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['pressings', 'piernas', 'piscinas', 'porcinos', 'porcinas', 'percibes', 'piérides', 'percibís', 'Perkins', 'Piérnigas', 'parkings', 'pecinas', 'peelings', 'percanes', 'percibas', 'percibos', 'perinés', 'perlinas', 'perlinos', 'perrinas', 'perusinas', 'perusinos', 'piedrines', 'pierias', 'pierios', 'piperacinas', 'piperinas', 'pipermines', 'pircanos', 'pircunes', 'piérdanos', 'piérdenos', 'pressing', 'puentings', 'pírcanos', 'rieslings']}]"
8,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '...brazos llenos de tatuajes y el otro sin piercings. Solo el hombre con los brazos llenos d...', 'matched_text': 'piercings', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['pressings', 'piernas', 'piscinas', 'porcinos', 'porcinas', 'percibes', 'piérides', 'percibís', 'Perkins', 'Piérnigas', 'parkings', 'pecinas', 'peelings', 'percanes', 'percibas', 'percibos', 'perinés', 'perlinas', 'perlinos', 'perrinas', 'perusinas', 'perusinos', 'piedrines', 'pierias', 'pierios', 'piperacinas', 'piperinas', 'pipermines', 'pircanos', 'pircunes', 'piérdanos', 'piérdenos', 'pressing', 'puentings', 'pírcanos', 'rieslings']}, {'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '...s penales, lo que excluye al hombre sin piercings de todos los puestos a los que postula....', 'matched_text': 'piercings', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['pressings', 'piernas', 'piscinas', 'porcinos', 'porcinas', 'percibes', 'piérides', 'percibís', 'Perkins', 'Piérnigas', 'parkings', 'pecinas', 'peelings', 'percanes', 'percibas', 'percibos', 'perinés', 'perlinas', 'perlinos', 'perrinas', 'perusinas', 'perusinos', 'piedrines', 'pierias', 'pierios', 'piperacinas', 'piperinas', 'pipermines', 'pircanos', 'pircunes', 'piérdanos', 'piérdenos', 'pressing', 'puentings', 'pírcanos', 'rieslings']}]",,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': 'El hombre sin piercings', 'matched_text': 'piercings', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['pressings', 'piernas', 'piscinas', 'porcinos', 'porcinas', 'percibes', 'piérides', 'percibís', 'Perkins', 'Piérnigas', 'parkings', 'pecinas', 'peelings', 'percanes', 'percibas', 'percibos', 'perinés', 'perlinas', 'perlinos', 'perrinas', 'perusinas', 'perusinos', 'piedrines', 'pierias', 'pierios', 'piperacinas', 'piperinas', 'pipermines', 'pircanos', 'pircunes', 'piérdanos', 'piérdenos', 'pressing', 'puentings', 'pírcanos', 'rieslings']}]"
8,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '...brazos llenos de tatuajes y el otro sin piercings. Solo el hombre sin piercings había ten...', 'matched_text': 'piercings', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['pressings', 'piernas', 'piscinas', 'porcinos', 'porcinas', 'percibes', 'piérides', 'percibís', 'Perkins', 'Piérnigas', 'parkings', 'pecinas', 'peelings', 'percanes', 'percibas', 'percibos', 'perinés', 'perlinas', 'perlinos', 'perrinas', 'perusinas', 'perusinos', 'piedrines', 'pierias', 'pierios', 'piperacinas', 'piperinas', 'pipermines', 'pircanos', 'pircunes', 'piérdanos', 'piérdenos', 'pressing', 'puentings', 'pírcanos', 'rieslings']}, {'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '... otro sin piercings. Solo el hombre sin piercings había tenido suerte y había encontrado ...', 'matched_text': 'piercings', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['pressings', 'piernas', 'piscinas', 'porcinos', 'porcinas', 'percibes', 'piérides', 'percibís', 'Perkins', 'Piérnigas', 'parkings', 'pecinas', 'peelings', 'percanes', 'percibas', 'percibos', 'perinés', 'perlinas', 'perlinos', 'perrinas', 'perusinas', 'perusinos', 'piedrines', 'pierias', 'pierios', 'piperacinas', 'piperinas', 'pipermines', 'pircanos', 'pircunes', 'piérdanos', 'piérdenos', 'pressing', 'puentings', 'pírcanos', 'rieslings']}]",,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': 'El hombre sin piercings', 'matched_text': 'piercings', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['pressings', 'piernas', 'piscinas', 'porcinos', 'porcinas', 'percibes', 'piérides', 'percibís', 'Perkins', 'Piérnigas', 'parkings', 'pecinas', 'peelings', 'percanes', 'percibas', 'percibos', 'perinés', 'perlinas', 'perlinos', 'perrinas', 'perusinas', 'perusinos', 'piedrines', 'pierias', 'pierios', 'piperacinas', 'piperinas', 'pipermines', 'pircanos', 'pircunes', 'piérdanos', 'piérdenos', 'pressing', 'puentings', 'pírcanos', 'rieslings']}]"
8,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '...on todo el cuello tatuado y el otro sin piercings.', 'matched_text': 'piercings', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['pressings', 'piernas', 'piscinas', 'porcinos', 'porcinas', 'percibes', 'piérides', 'percibís', 'Perkins', 'Piérnigas', 'parkings', 'pecinas', 'peelings', 'percanes', 'percibas', 'percibos', 'perinés', 'perlinas', 'perlinos', 'perrinas', 'perusinas', 'perusinos', 'piedrines', 'pierias', 'pierios', 'piperacinas', 'piperinas', 'pipermines', 'pircanos', 'pircunes', 'piérdanos', 'piérdenos', 'pressing', 'puentings', 'pírcanos', 'rieslings']}]",,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': 'El hombre sin piercings', 'matched_text': 'piercings', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['pressings', 'piernas', 'piscinas', 'porcinos', 'porcinas', 'percibes', 'piérides', 'percibís', 'Perkins', 'Piérnigas', 'parkings', 'pecinas', 'peelings', 'percanes', 'percibas', 'percibos', 'perinés', 'perlinas', 'perlinos', 'perrinas', 'perusinas', 'perusinos', 'piedrines', 'pierias', 'pierios', 'piperacinas', 'piperinas', 'pipermines', 'pircanos', 'pircunes', 'piérdanos', 'piérdenos', 'pressing', 'puentings', 'pírcanos', 'rieslings']}]"
8,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '...on todo el cuello tatuado y el otro sin piercings. Solo el hombre con todo el cuello tatu...', 'matched_text': 'piercings', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['pressings', 'piernas', 'piscinas', 'porcinos', 'porcinas', 'percibes', 'piérides', 'percibís', 'Perkins', 'Piérnigas', 'parkings', 'pecinas', 'peelings', 'percanes', 'percibas', 'percibos', 'perinés', 'perlinas', 'perlinos', 'perrinas', 'perusinas', 'perusinos', 'piedrines', 'pierias', 'pierios', 'piperacinas', 'piperinas', 'pipermines', 'pircanos', 'pircunes', 'piérdanos', 'piérdenos', 'pressing', 'puentings', 'pírcanos', 'rieslings']}, {'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '...s penales, lo que excluye al hombre sin piercings de todos los puestos a los que postula....', 'matched_text': 'piercings', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['pressings', 'piernas', 'piscinas', 'porcinos', 'porcinas', 'percibes', 'piérides', 'percibís', 'Perkins', 'Piérnigas', 'parkings', 'pecinas', 'peelings', 'percanes', 'percibas', 'percibos', 'perinés', 'perlinas', 'perlinos', 'perrinas', 'perusinas', 'perusinos', 'piedrines', 'pierias', 'pierios', 'piperacinas', 'piperinas', 'pipermines', 'pircanos', 'pircunes', 'piérdanos', 'piérdenos', 'pressing', 'puentings', 'pírcanos', 'rieslings']}]",,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': 'El hombre sin piercings', 'matched_text': 'piercings', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['pressings', 'piernas', 'piscinas', 'porcinos', 'porcinas', 'percibes', 'piérides', 'percibís', 'Perkins', 'Piérnigas', 'parkings', 'pecinas', 'peelings', 'percanes', 'percibas', 'percibos', 'perinés', 'perlinas', 'perlinos', 'perrinas', 'perusinas', 'perusinos', 'piedrines', 'pierias', 'pierios', 'piperacinas', 'piperinas', 'pipermines', 'pircanos', 'pircunes', 'piérdanos', 'piérdenos', 'pressing', 'puentings', 'pírcanos', 'rieslings']}]"
8,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '...on todo el cuello tatuado y el otro sin piercings. Solo el hombre sin piercings había ten...', 'matched_text': 'piercings', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['pressings', 'piernas', 'piscinas', 'porcinos', 'porcinas', 'percibes', 'piérides', 'percibís', 'Perkins', 'Piérnigas', 'parkings', 'pecinas', 'peelings', 'percanes', 'percibas', 'percibos', 'perinés', 'perlinas', 'perlinos', 'perrinas', 'perusinas', 'perusinos', 'piedrines', 'pierias', 'pierios', 'piperacinas', 'piperinas', 'pipermines', 'pircanos', 'pircunes', 'piérdanos', 'piérdenos', 'pressing', 'puentings', 'pírcanos', 'rieslings']}, {'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '... otro sin piercings. Solo el hombre sin piercings había tenido suerte y había encontrado ...', 'matched_text': 'piercings', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['pressings', 'piernas', 'piscinas', 'porcinos', 'porcinas', 'percibes', 'piérides', 'percibís', 'Perkins', 'Piérnigas', 'parkings', 'pecinas', 'peelings', 'percanes', 'percibas', 'percibos', 'perinés', 'perlinas', 'perlinos', 'perrinas', 'perusinas', 'perusinos', 'piedrines', 'pierias', 'pierios', 'piperacinas', 'piperinas', 'pipermines', 'pircanos', 'pircunes', 'piérdanos', 'piérdenos', 'pressing', 'puentings', 'pírcanos', 'rieslings']}]",,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': 'El hombre sin piercings', 'matched_text': 'piercings', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['pressings', 'piernas', 'piscinas', 'porcinos', 'porcinas', 'percibes', 'piérides', 'percibís', 'Perkins', 'Piérnigas', 'parkings', 'pecinas', 'peelings', 'percanes', 'percibas', 'percibos', 'perinés', 'perlinas', 'perlinos', 'perrinas', 'perusinas', 'perusinos', 'piedrines', 'pierias', 'pierios', 'piperacinas', 'piperinas', 'pipermines', 'pircanos', 'pircunes', 'piérdanos', 'piérdenos', 'pressing', 'puentings', 'pírcanos', 'rieslings']}]"
