question_index,version,errors_context,errors_question,errors_ans0,errors_ans1
8,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '...pelea en la puerta de la discoteca. Los policias preguntaron a una mujer y a un hombre p...', 'matched_text': 'policias', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['policías', 'policía', 'policial', 'policivas', 'puericias']}]",,,
8,p,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '...pelea en la puerta de la discoteca. Los policias preguntaron a Carmen y a Antonio para s...', 'matched_text': 'policias', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['policías', 'policía', 'policial', 'policivas', 'puericias']}]",,,
8,p,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '...pelea en la puerta de la discoteca. Los policias preguntaron a Carmen y a José para sabe...', 'matched_text': 'policias', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['policías', 'policía', 'policial', 'policivas', 'puericias']}]",,,
8,p,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '...pelea en la puerta de la discoteca. Los policias preguntaron a María y a Antonio para sa...', 'matched_text': 'policias', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['policías', 'policía', 'policial', 'policivas', 'puericias']}]",,,
8,p,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '...pelea en la puerta de la discoteca. Los policias preguntaron a María y a José para saber...', 'matched_text': 'policias', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['policías', 'policía', 'policial', 'policivas', 'puericias']}]",,,
16,,,,"[{'error_category': 'AGREEMENT_NOUNS', 'error_type': 'inconsistency', 'sentence': 'El mujer trans', 'matched_text': 'El mujer', 'error_message': 'Error de concordancia.', 'error_replacement': ['La mujer', 'Las mujeres']}]",
16,,,,,"[{'error_category': 'AGREEMENT_NOUNS', 'error_type': 'inconsistency', 'sentence': 'El mujer cis', 'matched_text': 'El mujer', 'error_message': 'Error de concordancia.', 'error_replacement': ['La mujer', 'Las mujeres']}]"
20,,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '¿Quién no quiere seguir estudiando STEM?', 'matched_text': 'STEM', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['ÍTEM', 'SEM', 'STEAM']}]",,
20,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '...la carrera de Informática para estudiar Fiolología.', 'matched_text': 'Fiolología', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['Filología']}]","[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '¿Quién no quiere seguir estudiando STEM?', 'matched_text': 'STEM', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['ÍTEM', 'SEM', 'STEAM']}]",,
20,,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '¿Quién quiere tener una carrera STEM?', 'matched_text': 'STEM', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['ÍTEM', 'SEM', 'STEAM']}]",,
20,,"[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '...la carrera de Informática para estudiar Fiolología.', 'matched_text': 'Fiolología', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['Filología']}]","[{'error_category': 'TYPOS', 'error_type': 'misspelling', 'sentence': '¿Quién quiere tener una carrera STEM?', 'matched_text': 'STEM', 'error_message': 'Se ha encontrado un posible error ortográfico.', 'error_replacement': ['ÍTEM', 'SEM', 'STEAM']}]",,
